KO_ID,AdFeMg1,AdFeMg2,AdFeMg3,AdFeMg4,AdFeMg5,AdFeMg6,AdFeMg7,AdFeMg8,AdFeMg9,AdFeMg10,AdFeMg11,AdFeMg12,AdFeMg13,AdFeMg14,AdFeMg15,MaFeMg1,MaFeMg2,MaFeMg3,MaFeMg4,MaFeMg5,MaFeMg6,MaFeMg7,MaFeMg8,MaFeMg9,MaFeMg10,MaFeMg11,MaFeMg12,MaFeMg13,MaFeMg14,MaFeMg15,OaFeMg1,OaFeMg2,OaFeMg3,OaFeMg4,OaFeMg5,OaFeMg6,OaFeMg7,OaFeMg8,OaFeMg9,OaFeMg10,OaFeMg11,OaFeMg12,OaFeMg13,OaFeMg14,OaFeMg15
K01390,0,0,0,0,0,0,0,0,0,0,1.615108863,0,0,0,0,4.34161552,1.780369551,0,3.02961212,0,0,1.679708762,29.65892266,0,1.461363784,10.02054256,1.354337422,0,0,0,0,0,0,0,0,0,0,1.579073466,0,0,0,0,3.217833646,0,1.534806678
K01392,50.94631601,0.507185735,14.3291874,10.88285138,8.163432871,12.37375858,18.02108296,25.6653581,17.32371779,0,2.906254054,8.252443428,8.854148412,35.45186754,12.06638457,21.39049036,14.5358479,7.187318375,17.8142308,24.50775549,8.182099883,8.412175256,31.57833612,51.91948,30.96464622,33.830514,15.82375863,7.87502185,11.66271955,9.222512872,25.37375589,12.54666792,14.9786973,16.40664592,31.74157311,28.96017577,48.34877065,53.1874874,14.11938468,17.91907182,44.01221217,16.23382045,18.02086187,4.95312243,5.005470707
K01400,141.2528522,104.3247786,11.22401548,22.16973618,10.63208142,14.51080709,20.78210206,8.244220953,7.859437845,30.1550256,16.07188631,18.97324935,16.74463537,56.26789718,45.78556501,18.13185209,14.70188038,16.47153944,4.442666169,79.20440454,7.161134605,7.544390274,8.403740827,8.249835648,5.499517326,7.363531002,1.113154045,9.228759521,8.415246785,2.678974669,2.99699709,8.615069055,6.439407609,13.13521792,28.47430328,5.185786071,14.35497693,2.909600853,4.809762575,53.77806737,32.79267278,8.824248268,32.73373905,35.55184708,42.38713267
K01405,5.444394205,0,6.560979468,0,0,0,0,0,0,5.040101372,0,0,7.016594359,0,0,0,0,0,0,0,0,1.919667156,1.614091029,0,0,1.636006949,0,0,0,0,0,0,0,0,2.180379637,0,0,0,1.799467459,6.731032499,1.677775834,1.812643004,0,0,0
K01407,154.6724314,160.9927604,68.85451584,40.74905412,95.98061417,51.91399789,58.65025351,65.72962568,12.80933302,330.6421642,104.6550291,174.3373477,156.197551,25.33678682,104.0845277,245.2584468,70.6231743,164.0101246,71.72913431,123.1081193,60.90800539,77.44451612,44.58444588,241.4244633,42.79383045,80.56867037,50.34816169,91.14701668,56.53439454,65.45198535,5.173966258,15.70166664,16.89209429,44.47001408,31.69814633,37.99897001,22.78496676,62.31027176,30.08455461,257.7870118,35.67233667,26.35202705,72.84400154,37.58042728,116.0269223
K01408,0,0,3.120030997,0,0,0,0,0.980082211,0,7.456671716,0,0,21.13240602,0,0,1.048699401,0,0,1.097685551,0,0,2.434360524,0,0,0,0,0.981403929,0,0,0,1.002924619,0,0,0,6.912435442,0,0,0,0,4.267864809,0,0,0,0,0
K01409,8970.682813,11071.02751,10785.32168,9470.508785,10862.42301,11842.50191,8908.447457,11454.37903,9043.252145,8851.271734,8957.533358,10445.32469,9066.146295,10085.28125,10421.91658,9644.983604,10989.5298,10246.02481,11058.22252,9868.241403,12365.65383,9903.272297,11392.79294,9597.214115,11070.9456,10567.52898,10819.22597,10623.21409,11209.50955,10611.51369,9540.093963,10435.31001,10895.68492,10397.07203,9761.465268,10643.1188,9080.682059,10581.87694,10745.0541,10593.22133,11304.55099,9428.810064,9483.756413,10716.85025,11554.62594
K01412,1.230967682,5.103310729,1.112569193,1.226598497,0,0,0,1.04846004,0,3.418673411,0,0,11.8982947,0,0,0,0,1.15723502,0,1.109923219,0,2.604199631,0,1.068957112,0,0,1.049873971,0,0,0,0,0,0,0,2.957879352,0,0,0,0,1.141405705,1.138026244,0,0,0,0
K01414,242.7535722,196.9820044,116.1077406,87.94682207,157.0956046,151.8195883,131.4907369,127.4214064,53.42194454,414.5330398,190.2351335,240.1871428,317.5284262,71.14727835,138.5414401,578.2202798,197.7929425,303.9702396,150.1163903,220.9496866,74.48115785,144.4174954,207.6156145,357.4459604,253.6697014,182.2530361,121.4000716,1130.576969,146.149004,148.5896287,67.05085425,84.15242725,90.79805694,161.1283654,641.0695729,343.0038489,119.197892,296.1436103,258.2966828,300.8461982,456.2955975,270.2039442,188.9371287,98.25529442,197.3050065
K01419,1393.846881,2747.880964,2197.449115,1188.880346,3195.869493,2755.340436,1651.804174,2643.884112,551.2770146,948.5213939,1802.684777,2707.960754,1728.275671,2129.916366,2231.226932,1563.712762,2017.044879,1557.47329,2445.044267,884.4236034,2539.036513,1347.873234,2247.719902,1349.688653,1871.78277,1607.313303,2121.969973,1780.017672,1750.252911,1267.97438,1306.130468,3321.635078,1798.05921,1599.906016,1160.331609,1219.522915,769.6217963,1801.152495,1391.364381,2263.582421,2321.6973,894.5913793,1406.484601,2134.755862,2243.901382
