KO_ID,AdSa1,AdSa2,AdSa3,AdSa4,AdSa5,AdSa6,AdSa7,AdSa8,AdSa9,AdSa10,AdSa11,AdSa12,AdSa13,AdSa14,AdSa15,MaSa1,MaSa2,MaSa3,MaSa4,MaSa5,MaSa6,MaSa7,MaSa8,MaSa9,MaSa10,MaSa11,MaSa12,MaSa13,MaSa14,MaSa15,OaSa1,OaSa2,OaSa3,OaSa4,OaSa5,OaSa6,OaSa7,OaSa8,OaSa9,OaSa10,OaSa11,OaSa12,OaSa13,OaSa14,OaSa15
K06865,1015.188539,662.510172,2217.388206,1310.664821,440.3378025,133.4385432,69.20731231,80.77631022,42.15816888,39.39583818,929.3875166,486.9914255,160.9273041,310.1783449,118.0373421,686.2662329,110.7824264,4.139242202,89.09252396,108.8267832,54.21043477,33.23156994,41.03550753,7.410216564,156.2972068,223.0464126,13.35764312,24.34811761,41.4803594,122.0156066,806.3647359,370.8522608,48.43710766,362.4220113,78.16482834,97.69299814,76.17881463,136.7748841,274.4897848,931.4060032,140.4573421,362.32267,422.3745957,59.60831024,57.90789774
K06866,551.8492403,591.1258969,535.7744397,758.100672,316.7323765,355.052387,287.8599522,544.1680015,438.2952161,502.5748565,499.5343309,520.9468896,254.8564036,603.6470147,599.1914345,692.0838741,875.976571,179.6554285,1531.883645,685.9149331,1695.513492,995.9516462,723.4864375,664.6056522,1008.32206,1029.749132,952.2741663,895.5547471,486.5954486,568.7350621,280.1465487,588.0470618,393.4786851,604.8953956,800.9991232,416.1827725,816.7740685,1095.672545,509.9208138,310.845658,1153.78535,851.256489,478.4543453,909.9360778,764.1638221
K06867,519.4481996,720.1304211,476.6408998,622.3111714,1001.417666,1220.778336,1105.46417,1368.477573,1591.516695,903.916031,744.4249715,699.8134485,852.7615668,874.1032529,823.8873911,759.7826451,782.4401995,1367.088448,864.2227731,1325.74964,1033.030962,937.4538839,789.610808,823.1486279,728.6185612,1005.028532,892.9205241,911.792017,1335.917676,798.1977519,1156.053812,728.6390236,1620.851264,698.3927516,724.0789141,1078.038098,774.4520291,899.9962824,684.0513176,787.2596563,748.6208246,662.6583329,692.3657042,1034.036735,1372.866473
K06868,0,0.730428299,5.032416987,0,0,0,0,0,0.617685193,0,1.389383921,0,0,1.888128535,0,4.132795247,2.573933565,0,0.912597615,8.209877081,0,0,0,4.620916793,0,0.765283702,2.669822697,0.972812559,0,8.082932076,22.63846813,6.291042331,0,19.33011781,6.175668126,2.565255384,0.836668388,8.006574168,4.019995301,78.81109637,0,3.468958335,19.59486844,1.729090752,0
K06869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.898896854,5.052096315,0,6.797832328,6.474490777,0,0,0,0,33.65312573,0,0,1.236834903,0,0
K06871,2359.635358,2022.374712,3070.450469,2247.465105,1370.116205,1670.226581,1348.048872,1453.382226,1826.902888,1657.725461,3479.674409,2188.2005,1684.143538,1761.480874,1671.735578,2568.333687,2339.943962,3096.298832,3377.503446,2915.440529,3784.26762,4185.985358,2533.212567,1638.381784,3008.999418,2437.363901,2752.057668,1882.697299,3242.649435,3961.513332,3600.269275,3450.588713,2352.680589,3679.426557,3576.255327,2733.921955,3538.645676,4005.860376,2873.606184,6502.580084,3858.865677,3944.291542,4994.477774,3135.068015,3054.513412
K06872,3977.474655,5290.043861,3153.068125,4467.563333,6039.099161,6120.872614,5606.587656,5310.894878,5223.604553,5402.944197,5118.240944,4889.564676,5088.413103,5958.438153,5613.590084,4127.659104,4767.304625,5173.170989,4616.484978,4015.753729,4898.143095,4434.260323,4828.870174,4450.091674,4268.441114,4271.20432,4898.030227,4650.741825,2519.995319,3217.599432,3771.236479,4823.192406,2798.215724,4367.082497,3937.941455,4698.035891,5263.905528,4215.015697,5956.85879,3428.76391,4253.971351,3762.152614,4596.74961,3821.115113,3839.919365
K06873,19.10742444,10.84765261,24.57563134,0,0,0,0,1.749690051,0,0,4.833156034,7.559517378,0,0,0,0,4.132508722,0,0,0,0,0,0,2.009308905,0,0,2.143230449,0,7.018815292,4.016792863,2.012506068,2.471242379,5.844684952,27.70977017,23.22473483,2.408162706,5.485101136,0,2.420322615,0,0,0,4.436667477,1.503717812,0
K06874,0,0,6.713182174,1.690405044,3.736775032,0,0,0,2.306402511,0,1.420802151,4.363577204,0,2.022285036,0,3.857907489,8.245163045,0,4.139746208,5.206638105,0,2.949747563,0,5.240377155,0,6.868854902,9.980287672,0,6.243051497,11.9200267,63.97144686,11.30890293,0,43.38644305,0,15.41943221,3.584463514,2.670995121,2.406085423,178.8904148,26.56769637,4.604366817,24.58146689,0,0
K06875,0,2.436756701,16.92209497,2.352381844,0,0,0,0,0,0,4.79771011,6.080394464,0,2.686952146,0,10.07616278,5.478432512,0,0,26.23951256,0,0,4.563374071,9.863880077,0,6.534345455,13.10053604,0,38.05514058,27.42314174,35.19936097,15.60823428,11.21029737,54.46890114,77.03478721,12.56687061,4.762573899,4.621982862,9.073504527,69.49020437,25.18155569,0,30.64599136,0,0
